Ticker,Event_Date,Event_Description
CRM,2023-03-07,Salesforce announces Einstein GPT for enterprise workflows
CRM,2023-06-12,Salesforce launches AI Cloud for enterprise customers
MSFT,2023-03-16,Microsoft announces Copilot for Microsoft 365
MSFT,2023-11-01,Microsoft Copilot for Enterprise reaches General Availability
NOW,2023-05-16,ServiceNow integrates Generative AI into its core platform
NOW,2023-09-20,ServiceNow launches Now Assist generative AI workflow agents
HUBS,2023-03-06,HubSpot launches ChatSpot AI and generative text agents
HUBS,2023-09-05,HubSpot debuts HubSpot AI across its entire CRM platform
ADBE,2023-03-21,Adobe unveils Firefly generative AI for enterprise content supply chain
TEAM,2023-04-19,Atlassian announces Atlassian Intelligence for Jira and Confluence
CRWD,2023-05-30,CrowdStrike introduces Charlotte AI generative AI security analyst
SNOW,2023-11-01,Snowflake announces Snowflake Cortex for enterprise AI app development
WDAY,2023-09-26,Workday announces major Generative AI capabilities across HR and Finance
MNDY,2023-05-16,Monday.com incorporates Monday AI into its work OS
ASAN,2023-06-07,Asana launches Asana Intelligence for autonomous project management
BOX,2023-05-02,Box announces Box AI to integrate foundation models into enterprise content
PLTR,2023-04-25,Palantir introduces Artificial Intelligence Platform (AIP)
DDOG,2023-08-08,Datadog announces Bits AI incident management copilot
OKTA,2023-10-04,Okta introduces Okta AI for identity and access management
